RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,pmDE,Gmag,BPmag,RPmag
56.85723709646,23.21193775019,-1.3953,0.8751,1.052,-0.128,20.357994,20.586874,20.00137
56.86499666991,23.2324016007,-0.0109,0.1997,-0.18,-3.474,18.54325,19.100636,17.805065
56.95232610336,23.16271691778,0.5828,0.6422,-6.24,-2.075,19.905313,20.503746,18.598269
56.95508055493,23.17097906,1.1605,0.1186,2.218,1.378,17.659595,18.502872,16.791237
56.95876359627,23.17481618864,1.0974,0.1649,6.573,1.742,18.114855,19.096205,17.172478
56.96333301137,23.18022004835,1.1396,0.2208,4.687,-6.13,18.665346,19.691711,17.666672
56.96448123509,23.18268178565,0.992,0.34,5.961,-5.574,19.317497,20.444801,18.240791
56.95220610877,23.18391363708,0.396,0.1012,-2.981,-3.163,17.181955,17.760122,16.469534
56.9552402806,23.18600077227,0.6391,0.1271,-1.116,-1.355,17.595102,18.280209,16.803534
56.9773548441,23.1838348539,-0.3096,1.3458,-0.192,-0.627,20.485624,20.51746,19.537653
56.97660993508,23.18390273477,0.5036,0.8148,-2.357,-1.608,20.194153,20.515543,19.35929
56.98402732404,23.19193337346,1.0697,0.0217,6.034,-10.036,8.851566,9.796937,7.899643
56.9859819088,23.19660836348,,,,,13.542294,13.519646,12.298934
56.97166088871,23.20198267702,0.3983,0.113,28.486,-16.109,17.485126,17.925657,16.874355
56.98577212915,23.2065007515,0.6305,0.1616,0.346,-0.972,18.073412,18.525072,17.444916
56.97325423148,23.21357046799,1.3028,0.02,1.719,-4.365,13.820353,14.213568,13.25564
56.9466094453,23.20126824229,0.8907,0.665,1.867,-8.226,20.050077,21.091183,18.874449
56.92236917279,23.20254736939,-0.4726,0.4405,-1.942,-4.978,19.68191,20.0583,19.202154
56.91952035948,23.1950673076,0.9956,0.0676,2.885,-6.326,16.494444,17.094694,15.752465
56.92616883527,23.21027856723,-0.6886,1.2032,1.372,-1.395,20.415802,20.622482,19.478848
56.93940988883,23.2066797995,-1.0796,1.3378,-3.955,-5.688,20.329987,21.107782,19.210861
56.9286709746,23.19999699077,0.7222,0.0462,5.494,3.762,15.824545,16.27721,15.2087
56.93796376247,23.20457013481,,,,,18.119974,19.074594,16.668913
56.94793553786,23.20819258826,4.1085,1.3983,13.401,-2.261,20.44163,21.11568,19.035677
56.96045393169,23.20961125562,,,,,20.933334,21.7901,19.916979
56.95703039493,23.21654035624,,,,,21.29276,20.48712,19.16043
56.97360705338,23.2175345835,1.3352,0.0799,17.174,-0.969,16.930323,17.782557,16.035006
56.94094390338,23.20986557771,-0.0757,0.2363,3.046,-1.103,18.733383,19.280766,18.043745
56.95058643018,23.2178837759,7.4112,0.0205,20.054,-45.848,10.945833,11.33603,10.391232
56.94892039871,23.21649714675,0.674,0.0484,0.391,0.161,15.657484,16.11186,15.020504
56.94922114099,23.21548026069,0.1981,0.3959,-1.624,-6.422,19.154354,19.348158,18.388447
56.95817092787,23.22385137822,1.4271,1.1375,4.263,0.191,20.599865,20.75687,19.56764
56.95594264921,23.22126231764,0.3267,0.1178,1.322,-3.25,17.53484,18.140816,16.799503
56.96142182974,23.22850896715,,,,,20.965385,19.888227,18.427582
56.95578081086,23.21964858594,,,,,16.99472,16.97068,16.072939
56.99473495858,23.20264908554,0.6023,0.5966,5.284,-11.981,19.751257,20.426558,18.986225
57.01723613143,23.21564940532,2.3672,1.205,3.374,-6.632,20.598223,21.537905,19.505304
57.00506102059,23.21668530495,-3.4168,1.4816,1.721,-0.736,20.676683,21.026587,19.52693
56.97593107437,23.21570378472,,,,,20.660685,21.207703,19.999477
56.99425623191,23.21975891184,1.9433,0.185,20.307,-15.373,18.346115,19.706755,17.181232
57.01488432705,23.23228984011,0.2396,0.1839,0.719,-4.336,18.324303,18.846926,17.708433
57.01483656309,23.22185710701,,,,,20.728367,21.490685,19.952158
57.02527087621,23.23114093184,1.1832,0.3628,-0.462,-3.446,19.484308,20.64717,18.330315
57.0297338859,23.24570126891,1.5631,0.0435,-0.808,-3.373,16.011091,16.677538,15.214602
57.01241281871,23.24389768312,,,,,20.717476,19.006165,18.902956
57.01240471961,23.24373287677,,,,,20.819107,21.122398,18.98423
57.01367870857,23.25130055668,,,,,20.946081,20.882376,19.854214
56.97023345332,23.22208315647,0.4559,1.1262,4.146,-9.564,20.43574,21.060486,19.337152
56.98349729284,23.23100418115,0.5455,0.3818,1.234,-1.574,19.414877,20.232021,18.512724
56.98481655364,23.23570164207,,,,,16.25188,,
56.98509704842,23.23589881632,0.9447,0.0807,3.216,-2.353,15.661257,15.912718,14.657272
56.9853464905,23.23040164315,0.437,0.0762,0.425,-3.407,16.775318,17.218359,16.156784
56.9772396535,23.24502073084,0.3616,0.2433,1.134,-1.367,18.81696,19.488356,18.179037
56.97524861731,23.24540123496,0.5789,1.2921,3.655,-4.495,20.666098,22.259157,19.533886
57.00316515658,23.25437370192,-0.0328,0.5322,-0.509,-0.724,19.760494,20.533417,18.967052
56.97950462734,23.25340012568,-0.2578,1.206,6.287,-3.879,20.633766,21.069492,20.180525
56.99355960648,23.25742130163,2.3962,0.7526,13.293,-14.575,20.147758,21.402115,18.8873
56.99350277521,23.27342985589,-0.047,0.7537,7.986,-6.567,20.28854,20.869097,19.328136
56.99385570881,23.27250376019,0.4008,0.1211,7.078,-7.355,17.631706,18.075876,17.03624
56.90761927539,23.20886022863,0.0816,0.5646,-0.151,0.809,19.958786,20.822495,18.879065
56.91040817388,23.21304474566,0.5595,0.136,6.644,-2.037,17.731363,18.435175,16.955185
56.91123362823,23.21034835366,-0.0182,0.1228,0.62,-1.965,17.693378,18.127338,17.068232
56.93540984666,23.22330621428,1.2657,0.4221,3.465,-11.879,19.325987,20.948774,18.17199
56.94641211236,23.24068529108,1.0521,0.284,3.64,-7.811,19.041113,20.102596,18.006273
56.93823028479,23.2397557869,,,,,20.869678,21.5229,19.543776
56.91254770789,23.23648863941,1.7185,0.9531,-2.478,8.106,19.542051,20.689194,18.08617
56.92216080037,23.2310891838,2.8319,1.7925,5.075,-9.895,20.66911,20.353998,19.288883
56.92712174258,23.24313014011,0.9361,0.3218,4.485,3.707,19.205124,20.62311,18.249668
56.92456471786,23.24498954083,,,,,21.138199,19.520359,17.710442
